Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ticker
2010-01-04 00:00:00-05:00,6.4071918013288425,6.439313251466206,6.37567076711224,6.424603462219238,493729600,0.0,0.0,AAPL
2010-01-05 00:00:00-05:00,6.442317868487011,6.4720376647979485,6.401790181206212,6.435713291168213,601904800,0.0,0.0,AAPL
2010-01-06 00:00:00-05:00,6.435712513903516,6.46122979510523,6.326739406175394,6.333343982696533,552160000,0.0,0.0,AAPL
2010-01-07 00:00:00-05:00,6.356759662485861,6.364264863379803,6.275705096078485,6.321635723114014,477131200,0.0,0.0,AAPL
2010-01-08 00:00:00-05:00,6.313231347960155,6.3642659208955,6.27600714858805,6.3636651039123535,447610800,0.0,0.0,AAPL
2010-01-11 00:00:00-05:00,6.388280620967726,6.394284781604259,6.257693333617454,6.3075270652771,462229600,0.0,0.0,AAPL
2010-01-12 00:00:00-05:00,6.279909151940067,6.297321623107376,6.19675391045886,6.235779762268066,594459600,0.0,0.0,AAPL
2010-01-13 00:00:00-05:00,6.240280705039805,6.332141537012064,6.127104706656341,6.32373571395874,605892000,0.0,0.0,AAPL
2010-01-14 00:00:00-05:00,6.3075278151255025,6.318034696676718,6.274805536578112,6.287113666534424,432894000,0.0,0.0,AAPL
2010-01-15 00:00:00-05:00,6.332142521001956,6.352256457862323,6.18024087381016,6.182042121887207,594067600,0.0,0.0,AAPL
2010-01-19 00:00:00-05:00,6.2540910874193125,6.460028995749092,6.221369613076615,6.455525875091553,730007600,0.0,0.0,AAPL
2010-01-20 00:00:00-05:00,6.451623037328589,6.4708359509256335,6.289214497084316,6.356159687042236,612152800,0.0,0.0,AAPL
2010-01-21 00:00:00-05:00,6.3666649190530205,6.403589295686442,6.220466448260391,6.246283531188965,608154400,0.0,0.0,AAPL
2010-01-22 00:00:00-05:00,6.207559986925345,6.229174164262463,5.918766665167428,5.936478137969971,881767600,0.0,0.0,AAPL
2010-01-25 00:00:00-05:00,6.0793734823569965,6.145117034148472,6.009726825525188,6.096184730529785,1065699600,0.0,0.0,AAPL
2010-01-26 00:00:00-05:00,6.182643691040025,6.415599941900661,6.08147597671428,6.182343482971191,1867110000,0.0,0.0,AAPL
2010-01-27 00:00:00-05:00,6.209659064365654,6.321633822352593,5.989911658005317,6.240580081939697,1722568400,0.0,0.0,AAPL
2010-01-28 00:00:00-05:00,6.152023548785045,6.169134606746448,5.964997933719202,5.9827094078063965,1173502400,0.0,0.0,AAPL
